time	V(N001)	V(N002)	V(N003)	I(V1)	
0.000466	-3.771256904	-2.05704922	-0.6856830734	0.1714207683	
0.000467	-3.687565587	-2.011399411	-0.6704664703	0.1676166176	
0.000468	-3.601545124	-1.964479159	-0.6548263863	0.1637065966	
0.000469	-3.513249849	-1.916318099	-0.6387726998	0.159693175	
0.00047	-3.42273553	-1.866946653	-0.6223155508	0.1555788877	
0.000471	-3.330059337	-1.816396002	-0.605465334	0.1513663335	
0.000472	-3.235279808	-1.764698077	-0.5882326923	0.1470581731	
0.000473	-3.138456806	-1.711885531	-0.5706285103	0.1426571276	
0.000474	-3.039651488	-1.657991721	-0.552663907	0.1381659767	
0.000475	-2.938926261	-1.603050688	-0.5343502294	0.1335875573	
0.000476	-2.836344746	-1.547097134	-0.5156990447	0.1289247612	
0.000477	-2.731971734	-1.4901664	-0.4967221334	0.1241805333	
0.000478	-2.62587315	-1.432294445	-0.4774314818	0.1193578704	
0.000479	-2.518116008	-1.373517823	-0.4578392742	0.1144598186	
0.00048	-2.408768371	-1.313873657	-0.4379578855	0.1094894714	
0.000481	-2.297899303	-1.25339962	-0.4177998733	0.1044499683	
0.000482	-2.185578833	-1.192133909	-0.3973779697	0.09934449242	
0.000483	-2.071877905	-1.130115221	-0.3767050736	0.09417626841	
0.000484	-1.956868334	-1.067382728	-0.3557942426	0.08894856064	
0.000485	-1.840622763	-1.003976053	-0.3346586843	0.08366467106	
0.000486	-1.723214616	-0.939935245	-0.3133117483	0.07832793709	
0.000487	-1.604718049	-0.875300754	-0.291766918	0.0729417295	
0.000488	-1.485207908	-0.8101134043	-0.2700378014	0.06750945036	
0.000489	-1.364759678	-0.7444143696	-0.2481381232	0.0620345308	
0.00049	-1.243449436	-0.6782451468	-0.2260817156	0.0565204289	
0.000491	-1.121353805	-0.6116475299	-0.20388251	0.05097062749	
0.000492	-0.9985499026	-0.5446635832	-0.1815545277	0.04538863194	
0.000493	-0.8751152949	-0.4773356154	-0.1591118718	0.03977796795	
0.000494	-0.7511279456	-0.4097061521	-0.1365687174	0.03414217935	
0.000495	-0.6266661678	-0.3418179097	-0.1139393032	0.02848482581	
0.000496	-0.5018085743	-0.2737137678	-0.09123792259	0.02280948065	
0.000497	-0.3766340276	-0.2054367423	-0.06847891412	0.01711972853	
0.000498	-0.2512215909	-0.1370299587	-0.04567665289	0.01141916322	
0.000499	-0.1256504772	-0.06853662394	-0.02284554131	0.005711385328	
0.0005	6.99211658e-13	3.813881771e-13	1.271293924e-13	-3.178234809e-14	
0.000501	0.1256504772	0.06853662394	0.02284554131	-0.005711385328	
0.000502	0.2512215909	0.1370299587	0.04567665289	-0.01141916322	
0.000503	0.3766340276	0.2054367423	0.06847891412	-0.01711972853	
0.000504	0.5018085743	0.2737137678	0.09123792259	-0.02280948065	
0.000505	0.6266661678	0.3418179097	0.1139393032	-0.02848482581	
0.000506	0.7511279456	0.4097061521	0.1365687174	-0.03414217935	
0.000507	0.8751152949	0.4773356154	0.1591118718	-0.03977796795	
0.000508	0.9985499026	0.5446635832	0.1815545277	-0.04538863194	
0.000509	1.121353805	0.6116475299	0.20388251	-0.05097062749	
0.00051	1.243449436	0.6782451468	0.2260817156	-0.0565204289	
0.000511	1.364759678	0.7444143696	0.2481381232	-0.0620345308	
0.000512	1.485207908	0.8101134043	0.2700378014	-0.06750945036	
0.000513	1.604718049	0.875300754	0.291766918	-0.0729417295	
0.000514	1.723214616	0.939935245	0.3133117483	-0.07832793709	
0.000515	1.840622763	1.003976053	0.3346586843	-0.08366467106	
0.000516	1.956868334	1.067382728	0.3557942426	-0.08894856064	
0.000517	2.071877905	1.130115221	0.3767050736	-0.09417626841	
0.000518	2.185578833	1.192133909	0.3973779697	-0.09934449242	
0.000519	2.297899303	1.25339962	0.4177998733	-0.1044499683	
0.00052	2.408768371	1.313873657	0.4379578855	-0.1094894714	
0.000521	2.518116008	1.373517823	0.4578392742	-0.1144598186	
0.000522	2.62587315	1.432294445	0.4774314818	-0.1193578704	
0.000523	2.731971734	1.4901664	0.4967221334	-0.1241805333	
0.000524	2.836344746	1.547097134	0.5156990447	-0.1289247612	
0.000525	2.938926261	1.603050688	0.5343502294	-0.1335875573	
0.000526	3.039651488	1.657991721	0.552663907	-0.1381659767	
0.000527	3.138456806	1.711885531	0.5706285103	-0.1426571276	
0.000528	3.235279808	1.764698077	0.5882326923	-0.1470581731	
0.000529	3.330059337	1.816396002	0.605465334	-0.1513663335	
0.00053	3.42273553	1.866946653	0.6223155508	-0.1555788877	
0.000531	3.513249849	1.916318099	0.6387726998	-0.159693175	
0.000532	3.601545124	1.964479159	0.6548263863	-0.1637065966	
0.000533	3.687565587	2.011399411	0.6704664703	-0.1676166176	
0.000534	3.771256904	2.05704922	0.6856830734	-0.1714207683	
0.000535	3.852566214	2.101399753	0.7004665843	-0.1751166461	
0.000536	3.931442161	2.144422997	0.7148076656	-0.1787019164	
0.000537	4.007834924	2.186091777	0.728697259	-0.1821743147	
